text,category,priority
Error message: 'File not found'.,software_bug,high
Database connection error.,software_bug,low
Search function not working.,software_bug,low
Video conferencing keeps dropping.,network_issue,critical
Bluetooth device not pairing.,hardware_issue,high
Email server is down.,network_issue,medium
Database connection error.,software_bug,medium
Email client not syncing.,software_bug,low
Touchpad not working on laptop.,hardware_issue,high
Network printer not accessible.,network_issue,critical
Account locked out.,access_issue,low
Search function not working.,software_bug,medium
Video player buffering issues.,software_bug,low
Password reset not working.,access_issue,low
Incorrect calculations in spreadsheet.,software_bug,medium
My computer won't start up.,hardware_issue,high
USB ports not working.,hardware_issue,medium
USB ports not working.,hardware_issue,high
Login screen loops endlessly.,software_bug,high
Application freezing randomly.,software_bug,low
VPN access blocked.,access_issue,low
External hard drive not detected.,hardware_issue,high
Login screen loops endlessly.,software_bug,low
Remote desktop connection refused.,access_issue,high
Report generation is incorrect.,software_bug,medium
Plugin not loading.,software_bug,medium
Proxy settings incorrect.,network_issue,high
My computer won't start up.,hardware_issue,medium
Software update failed.,software_bug,low
LAN port not functioning.,network_issue,medium
Video conferencing keeps dropping.,network_issue,high
Monitor is displaying distorted colors.,hardware_issue,medium
Account locked out.,access_issue,high
Search function not working.,software_bug,medium
The application crashes when I open it.,software_bug,medium
Firewall blocking legitimate traffic.,network_issue,high
Login screen loops endlessly.,software_bug,medium
Video conferencing keeps dropping.,network_issue,high
Login screen loops endlessly.,software_bug,low
Email client not syncing.,software_bug,medium
Install operating system update.,service_request,medium
Software update failed.,software_bug,medium
My computer won't start up.,hardware_issue,medium
Incorrect calculations in spreadsheet.,software_bug,high
The application crashes when I open it.,software_bug,medium
Laptop battery not charging.,hardware_issue,high
Database connection error.,software_bug,low
Monitor is displaying distorted colors.,hardware_issue,high
I can't log into my account.,access_issue,medium
External hard drive not detected.,hardware_issue,medium
Permissions not set correctly.,access_issue,medium
DNS resolution failing.,network_issue,high
The keyboard keys are sticking.,hardware_issue,medium
Two-factor authentication failing.,access_issue,low
Laptop battery not charging.,hardware_issue,medium
Software update failed.,software_bug,low
My computer won't start up.,hardware_issue,high
Power supply fan is loud.,hardware_issue,medium
Login screen loops endlessly.,software_bug,medium
Graphics card overheating.,hardware_issue,low
Network cable unplugged.,network_issue,high
Search function not working.,software_bug,low
Request for training on software.,service_request,low
Application freezing randomly.,software_bug,medium
Database connection error.,software_bug,high
Graphics card overheating.,hardware_issue,medium
Error message: 'File not found'.,software_bug,medium
LAN port not functioning.,network_issue,medium
Application freezing randomly.,software_bug,medium
Shared drive permissions issue.,access_issue,high
Graphics card overheating.,hardware_issue,medium
Access denied to shared folder.,access_issue,low
Video conferencing keeps dropping.,network_issue,high
I can't log into my account.,access_issue,critical
The application crashes when I open it.,software_bug,low
Please install antivirus software.,service_request,low
Two-factor authentication failing.,access_issue,low
Access to application denied.,access_issue,medium
Application freezing randomly.,software_bug,medium
Access to application denied.,access_issue,critical
Mouse cursor is frozen.,hardware_issue,medium
The keyboard keys are sticking.,hardware_issue,low
Group policy not applying.,access_issue,medium
DNS resolution failing.,network_issue,high
Video player buffering issues.,software_bug,medium
Incorrect calculations in spreadsheet.,software_bug,high
Plugin not loading.,software_bug,medium
Touchpad not working on laptop.,hardware_issue,medium
Plugin not loading.,software_bug,critical
Email client not syncing.,software_bug,medium
Login screen loops endlessly.,software_bug,low
CD/DVD drive not reading discs.,hardware_issue,medium
Power supply fan is loud.,hardware_issue,critical
Install operating system update.,service_request,low
Error message: 'File not found'.,software_bug,medium
Export function broken.,software_bug,medium
Email client not syncing.,software_bug,critical
USB ports not working.,hardware_issue,high
Hard drive making strange noises.,hardware_issue,medium
Report generation is incorrect.,software_bug,medium
The application crashes when I open it.,software_bug,low
IP address conflict.,network_issue,high
Search function not working.,software_bug,low
Printer is jammed.,hardware_issue,low
Mouse cursor is frozen.,hardware_issue,low
Software update failed.,software_bug,medium
External hard drive not detected.,hardware_issue,high
External hard drive not detected.,hardware_issue,medium
UI elements not responding.,software_bug,low
Email server is down.,network_issue,medium
Database connection error.,software_bug,critical
Database connection error.,software_bug,medium
Wireless signal weak.,network_issue,critical
Mouse cursor is frozen.,hardware_issue,medium
Printer is jammed.,hardware_issue,high
Application freezing randomly.,software_bug,medium
Search function not working.,software_bug,medium
Search function not working.,software_bug,low
External hard drive not detected.,hardware_issue,high
Set up new workstation.,service_request,critical
Firewall blocking legitimate traffic.,network_issue,critical
Can't connect to WiFi.,network_issue,critical
I can't log into my account.,access_issue,medium
Laptop battery not charging.,hardware_issue,low
Biometric login not recognizing.,access_issue,low
Firewall blocking legitimate traffic.,network_issue,low
Incorrect calculations in spreadsheet.,software_bug,high
Request for software license.,service_request,medium
Monitor is displaying distorted colors.,hardware_issue,high
I can't log into my account.,access_issue,medium
UI elements not responding.,software_bug,medium
Network printer not accessible.,network_issue,critical
IP address conflict.,network_issue,medium
Bluetooth device not pairing.,hardware_issue,high
Graphics card overheating.,hardware_issue,medium
Database connection error.,software_bug,low
Biometric login not recognizing.,access_issue,high
Graphics card overheating.,hardware_issue,medium
VPN access blocked.,access_issue,low
Group policy not applying.,access_issue,low
Firewall blocking legitimate traffic.,network_issue,medium
Touchpad not working on laptop.,hardware_issue,medium
Incorrect calculations in spreadsheet.,software_bug,high
Internet connection is very slow.,network_issue,high
Permissions not set correctly.,access_issue,critical
Video player buffering issues.,software_bug,medium
Data not saving properly.,software_bug,low
Proxy settings incorrect.,network_issue,high
Router needs rebooting.,network_issue,high
Can't connect to WiFi.,network_issue,medium
Access to application denied.,access_issue,high
Email client not syncing.,software_bug,medium
Data not saving properly.,software_bug,medium
Monitor is displaying distorted colors.,hardware_issue,high
Router needs rebooting.,network_issue,medium
Database connection error.,software_bug,medium
Configure backup for my files.,service_request,low
Incorrect calculations in spreadsheet.,software_bug,low
Monitor is displaying distorted colors.,hardware_issue,low
Export function broken.,software_bug,medium
Report generation is incorrect.,software_bug,medium
Application freezing randomly.,software_bug,medium
I can't log into my account.,access_issue,low
Shared drive permissions issue.,access_issue,medium
Set up new workstation.,service_request,low
Search function not working.,software_bug,medium
Shared drive permissions issue.,access_issue,medium
Speakers have no sound.,hardware_issue,high
Export function broken.,software_bug,high
Permissions not set correctly.,access_issue,low
Proxy settings incorrect.,network_issue,high
Network cable unplugged.,network_issue,high
Hard drive making strange noises.,hardware_issue,medium
Export function broken.,software_bug,low
Hard drive making strange noises.,hardware_issue,medium
Data not saving properly.,software_bug,low
Proxy settings incorrect.,network_issue,high
The application crashes when I open it.,software_bug,medium
Create new email account.,service_request,low
Error message: 'File not found'.,software_bug,medium
LAN port not functioning.,network_issue,high
Create new email account.,service_request,medium
External hard drive not detected.,hardware_issue,high
Email client not syncing.,software_bug,medium
Login screen loops endlessly.,software_bug,medium
Video player buffering issues.,software_bug,medium
Proxy settings incorrect.,network_issue,critical
Router needs rebooting.,network_issue,critical
Video player buffering issues.,software_bug,high
The application crashes when I open it.,software_bug,high
Video player buffering issues.,software_bug,medium
UI elements not responding.,software_bug,low
User profile corrupted.,access_issue,high
Login screen loops endlessly.,software_bug,medium
External hard drive not detected.,hardware_issue,medium
Software update failed.,software_bug,low
Access to application denied.,access_issue,medium
Access denied to shared folder.,access_issue,low
VPN not working.,network_issue,high
Incorrect calculations in spreadsheet.,software_bug,medium
Email client not syncing.,software_bug,medium
Data not saving properly.,software_bug,medium
Hard drive making strange noises.,hardware_issue,low
Email client not syncing.,software_bug,medium
Incorrect calculations in spreadsheet.,software_bug,medium
Application freezing randomly.,software_bug,medium
Report generation is incorrect.,software_bug,critical
Add printer to network.,service_request,low
CD/DVD drive not reading discs.,hardware_issue,high
Create new email account.,service_request,low
Application freezing randomly.,software_bug,medium
Login screen loops endlessly.,software_bug,critical
Monitor is displaying distorted colors.,hardware_issue,high
Graphics card overheating.,hardware_issue,medium
Set up conference room projector.,service_request,low
Monitor is displaying distorted colors.,hardware_issue,low
Database connection error.,software_bug,medium
Proxy settings incorrect.,network_issue,high
Request for training on software.,service_request,low
Database connection error.,software_bug,high
Access to application denied.,access_issue,medium
Software update failed.,software_bug,medium
Video player buffering issues.,software_bug,critical
Access to application denied.,access_issue,high
USB ports not working.,hardware_issue,medium
Error message: 'File not found'.,software_bug,low
DNS resolution failing.,network_issue,medium
